gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,entrez_id,description,
CEP85,1716.339807,-1.049844227,0.062971885,5.78E-63,1.82E-61,64793,centrosomal protein 85,
RPS27L,2532.137176,1.412418263,0.084892337,6.42E-63,2.02E-61,51065,ribosomal protein S27 like,
CCDC138,428.1185848,-1.707542469,0.102836541,8.59E-63,2.69E-61,165055,coiled-coil domain containing 138,
WDR45,2764.383418,1.172081945,0.070457531,8.96E-63,2.80E-61,11152,WD repeat domain 45,
CCT6A,20601.51393,-1.265135311,0.076161107,1.11E-62,3.48E-61,908,chaperonin containing TCP1 subunit 6A,
NRIP3,589.8518476,-1.722184463,0.103865229,1.20E-62,3.74E-61,56675,nuclear receptor interacting protein 3,
TMEM92,693.5593343,1.64732937,0.099347717,1.25E-62,3.91E-61,162461,transmembrane protein 92,
NXT1,1259.064471,-1.229788658,0.074111321,1.59E-62,4.94E-61,29107,nuclear transport factor 2 like export factor 1,
SLC28A3,143.4800208,3.654267719,0.221171934,2.64E-62,8.19E-61,64078,solute carrier family 28 member 3,
WDR3,3566.299889,-1.333163313,0.08054862,2.84E-62,8.80E-61,10885,WD repeat domain 3,
LETM1,4090.52796,-1.1575048,0.069915085,3.32E-62,1.03E-60,3954,leucine zipper and EF-hand containing transmembrane protein 1,
PSMG3,2624.370073,-1.28799338,0.077953388,3.88E-62,1.20E-60,84262,proteasome assembly chaperone 3,
WIPI1,1180.621052,1.532257545,0.092682539,4.02E-62,1.24E-60,55062,"WD repeat domain, phosphoinositide interacting 1",
STAMBPL1,1091.96314,-1.325956921,0.080242703,4.76E-62,1.47E-60,57559,STAM binding protein like 1,
GFM1,4354.961237,-1.053601936,0.063738519,5.94E-62,1.83E-60,85476,G elongation factor mitochondrial 1,
HLA-F,494.1805781,1.631896275,0.098957353,6.47E-62,1.99E-60,3134,"major histocompatibility complex, class I, F",
MXD4,2524.299291,1.611482363,0.097997887,1.33E-61,4.07E-60,10608,MAX dimerization protein 4,
RANGAP1,10217.38485,-1.490411092,0.090691894,1.72E-61,5.27E-60,5905,Ran GTPase activating protein 1,
CTSC,6482.352517,-1.062092401,0.064555477,2.17E-61,6.65E-60,1075,cathepsin C,
CD274,1268.940961,-1.934392381,0.118008392,2.24E-61,6.86E-60,29126,CD274 molecule,
ARMCX1,718.5863312,1.243442399,0.075650483,2.25E-61,6.88E-60,51309,armadillo repeat containing X-linked 1,
SDCBP,5281.975567,1.144788627,0.069623195,2.31E-61,7.05E-60,6386,syndecan binding protein,
CACNG8,1713.816399,1.572328232,0.095803761,2.32E-61,7.06E-60,59283,calcium voltage-gated channel auxiliary subunit gamma 8,
SREBF2,5932.738326,1.317566721,0.080206028,2.36E-61,7.18E-60,6721,sterol regulatory element binding transcription factor 2,
MNS1,244.6645891,-1.850739517,0.112952054,3.19E-61,9.69E-60,55329,meiosis specific nuclear structural 1,
DEXI,256.7636893,-1.820578638,0.111181697,3.88E-61,1.18E-59,28955,Dexi homolog,
ANTXR2,3796.044372,-1.689483179,0.103211416,3.98E-61,1.21E-59,118429,ANTXR cell adhesion molecule 2,
NUP107,2820.944086,-1.067597411,0.065063461,4.44E-61,1.34E-59,57122,nucleoporin 107,
