gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,entrez_id,description
IL36B,1.859362021,0.016080004,0.526080566,0.954857346,0.970596349,27177,interleukin 36 beta
RP11-182J1.12,4.198913681,0.01789597,0.451993363,0.955142655,0.970848971,NA,NA
RP11-460H18.2,3.978351252,0.017680248,0.469188158,0.955330175,0.970927402,NA,NA
RP13-270P17.1,4.340012914,-0.016798566,0.464128634,0.955260403,0.970927402,NA,NA
FAM209B,12.20033341,-0.015549078,0.343341359,0.955320697,0.970927402,388799,family with sequence similarity 209 member B
AC079767.3,4.096915586,-0.016784648,0.4519969,0.95561822,0.971182754,NA,NA
RP11-1376P16.2,22.18085925,-0.01357023,0.263600198,0.955897666,0.971429347,NA,NA
UBA52,22024.07783,0.004467882,0.061802147,0.955952604,0.971447774,7311,ubiquitin A-52 residue ribosomal protein fusion product 1
RP11-28H5.2,4.200967161,0.017482237,0.458821681,0.956126202,0.971586778,NA,NA
AC018737.3,1.853241067,0.014918664,0.538686129,0.95641744,0.971589411,NA,NA
AC007319.1,4.195645259,0.01734498,0.464153292,0.956390465,0.971589411,NA,NA
KLKB1,1.828418011,0.015292983,0.533174268,0.956229313,0.971589411,3818,kallikrein B1
RP11-631M6.1,9.393260601,0.01638492,0.354603399,0.956323097,0.971589411,NA,NA
ZNF389,108.5534509,0.007561313,0.139562034,0.956496903,0.971589411,NA,NA
RP5-1106E3.1,6.836411616,0.01738461,0.412794157,0.956347992,0.971589411,NA,NA
WASH4P,4.199857089,0.017376039,0.45242242,0.956474186,0.971589411,374677,"WASP family homolog 4, pseudogene"
RP11-510M2.2,15.75497048,-0.014527409,0.318098473,0.95632488,0.971589411,NA,NA
RP11-55K13.1,16.74106461,0.015425358,0.318293959,0.956281423,0.971589411,NA,NA
CTD-2639E6.9,4.075264464,-0.016374506,0.461555128,0.956480514,0.971589411,NA,NA
AC017076.4,35.48154383,-0.011384556,0.231579263,0.956638135,0.971689419,NA,NA
RP11-343H19.1,3.853094471,-0.016324322,0.460217817,0.956668987,0.971689419,NA,NA
RP11-373E16.1,10.61623886,-0.015293803,0.353541148,0.956709367,0.97169304,NA,NA
RP11-79I23.2,2.085252053,0.015204326,0.531321366,0.956873555,0.971822404,NA,NA
NOX1,10.57316754,0.016784509,0.393563524,0.957277932,0.972195688,27035,NADPH oxidase 1
AP000620.1,13.85521083,-0.014253873,0.320795516,0.957386149,0.972268181,NA,NA
PRPSAP2,2362.338652,0.003500794,0.064905907,0.957504009,0.97235046,5636,phosphoribosyl pyrophosphate synthetase associated protein 2
RP11-425I13.1,19.4726612,-0.012790478,0.276572354,0.957745984,0.972521352,NA,NA
CITF22-92A6.2,6.816020456,0.016639683,0.396378711,0.957730729,0.972521352,NA,NA
RP11-158M2.3,3.933943614,0.016751899,0.469104683,0.957788721,0.972527333,NA,NA
RN7SL4P,1.612242458,0.013877052,0.545914288,0.958089585,0.972795403,6030,"RNA, 7SL, cytoplasmic 4, pseudogene"
PYM1,2208.474071,-0.004687174,0.092995133,0.958402412,0.973075599,84305,"PYM homolog 1, exon junction complex associated factor"
RP11-552F3.4,3.58573907,-0.015252531,0.477213142,0.958955068,0.973599264,NA,NA
SLC35G6,1.616301549,0.013472313,0.547633447,0.959009025,0.973616594,643664,solute carrier family 35 member G6
RPL39P36,16.16279806,-0.013027009,0.298458455,0.959122409,0.973694253,100271526,ribosomal protein L39 pseudogene 36
HIST1H4J,4.61357402,0.01627198,0.461851703,0.959377366,0.973915623,NA,NA
RP11-343B22.2,4.188192616,0.016210212,0.455228771,0.959459745,0.97396179,NA,NA
RP11-701I24.1,3.852869148,-0.015102111,0.471513847,0.959509422,0.973974759,NA,NA
RPS17P14,2.106452581,0.014595748,0.521486796,0.959751047,0.974182561,100271074,ribosomal protein S17 pseudogene 14
RP11-94I2.1,1.860977967,0.014339883,0.524107751,0.960033238,0.974431521,NA,NA
FBXO34,1326.136095,-0.003661643,0.075376344,0.960205727,0.97456912,55030,F-box protein 34
