pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_ESTROGEN_RESPONSE_LATE,0.08946078431372549,0.17203996983408748,0.04884136955133312,-0.5536315469165779,-1.2396192729191267,179,990;51659;10733;991;595;7153;8309;6491;10112;5932;7517;2030;29107;6652;374;2013;3487;5603;7980;10202;4602;6566;3251;56339;10105;224;60481;55540
HALLMARK_APOPTOSIS,0.11246943765281174,0.20827673639409583,0.12218443330405154,0.41983494855824904,1.169978442756792,147,90427;2934;4739;7042;27250;7077;1491;6648;8878;5663;1649;2065;834;2064;6041;6303;8837;54884;1027;1191;10628;842;331;665;4616;8743;1540;2878;467;10410;3958;3162;5526;1026;3459;6890;7124;6304;2879;6309;118;3315;1647
HALLMARK_UV_RESPONSE_DN,0.1246177370030581,0.22253167321974662,0.11225086897822098,0.41516839977272696,1.1515812277468072,139,3690;3382;5002;307;390;10611;3488;8553;2064;11099;1278;6310;23576;1277;1027;493;1628;3480;8821;1739;8503;5797;23345
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.14031620553359683,0.24192449229930488,0.12042065316743104,0.3942165878060052,1.1218417047152314,181,6696;3486;10398;800;3690;4837;59;3398;7171;10085;3685;6535;5654;7169;6385;1278;6303;7168;1277;30008;1296;23705;4616;822;4015;5352;115908;2517
HALLMARK_ADIPOGENESIS,0.1491395793499044,0.248565965583174,0.11479040423284313,0.39092629248507393,1.1122631891374037,177,901;5264;27250;348;718;3417;56922;23187;26353;376497;64859;604;4259;8780;54884;51;10140;847;2878;6623;7423;3459;6776;2632;4189;2879
HALLMARK_NOTCH_SIGNALING,0.17343015805211448,0.27972606137437817,0.038748118963076505,-0.6711654364132742,-1.249649677355097,31,595;8819;2648
HALLMARK_TGF_BETA_SIGNALING,0.19838056680161945,0.3099696356275304,0.0635916868333331,0.4850158419859178,1.1619527379294474,53,90;3398;7050;6498;3399;331;11031;659;23645;7046;999
HALLMARK_UV_RESPONSE_UP,0.23593714415850603,0.3574805214522819,0.028224770331413764,-0.5153289994411365,-1.137875023184413,149,2237;5984;54107;5471;1017;10038;9188;10963;10280;896;3192;898;80273;262;9818;11333;211;5702;7301;10105
HALLMARK_ANGIOGENESIS,0.29856714428523823,0.4330270119743804,0.04600137753727824,0.5175380769035001,1.1096203174434753,30,6696;3685
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.3031189083820663,0.4330270119743804,0.08059249007647792,0.36677428285715613,1.043155177437034,179,4582;6337;9022;60598;6509;56944;221;26353;1999;2444;8553;360;7739;645;64284;6513;27134;7164;22836;9687;18;64798;2683;9620;3856;25987;11031;3880;3480;26509;10140;8416;9094;9467;7357;4137;6196;799;8614;9846;115;79875;9249;2222;10125;1366;8140
