category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,13/783,49/6540,0.2653061224489796,2.2159668465087186,3.150666276324862,0.004018162853157922,0.0700006265471196,0.06299945082790538,7042/4094/6097/3593/7124/7097/51561/6775/3569/50615/3553/64127/30009,13
Organismal Systems,Digestive system,hsa04978,Mineral absorption,13/783,50/6540,0.26,2.1716475095785444,3.066889032866382,0.004849959422531236,0.08026682844289196,0.07223886929349156,2512/6550/477/4494/6543/79901/142680/3162/4499/2495/55503/10568/7018,13
Human Diseases,Immune disease,hsa05332,Graft-versus-host disease,8/783,24/6540,0.3333333333333333,2.784163473818646,3.2291495747519234,0.005163735928843024,0.08139031392604958,0.07324998836403888,3133/3134/7124/3821/3569/3553/3802/115653,8
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,9/783,30/6540,0.3,2.5057471264367814,3.0483203902586595,0.006701766130455768,0.10083111769003905,0.09074640262770252,7042/7059/6347/7124/7097/4035/3569/3553/948,9
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,10/783,36/6540,0.2777777777777778,2.3201362281822053,2.928991885651129,0.007882356571993772,0.11343739240564951,0.1020918494221619,221/1545/1571/2946/222/1543/27294/2938/1544/2939,10
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,9/783,31/6540,0.2903225806451613,2.424916573971079,2.9325915856752887,0.008464044376919682,0.11633108285159546,0.1046961248115806,221/1571/2946/2329/222/2330/2938/1544/2939,9
Metabolism,Lipid metabolism,hsa00591,Linoleic acid metabolism,7/783,21/6540,0.3333333333333333,2.784163473818646,3.019897731596843,0.008786335562809324,0.11633108285159546,0.1046961248115806,8605/8398/1571/1544/246/64600/123745,7
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,33/783,184/6540,0.1793478260869565,1.4980009995002497,2.526885810172624,0.010625464931307893,0.135270342010112,0.12174115690526859,5333/53373/5025/84812/93129/489/8912/4485/4776/2065/4846/6543/2903/7942/6915/778/5582/196883/5155/91807/9965/5159/100130933/815/23236/7125/1128/2254/8822/2911/9630/5979/3270,33
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,8/783,28/6540,0.2857142857142857,2.3864258347016967,2.711170917106842,0.014158129558654926,0.17356818088573261,0.1562086029278497,715/716/718/2903/2212/7124/720/721,8
Organismal Systems,Circulatory system,hsa04270,Vascular smooth muscle contraction,20/783,101/6540,0.19801980198019803,1.6539584992982057,2.4425310758464924,0.015237707466977436,0.18013147041319755,0.16211545914115091,183/10398/79924/800/8605/59/8398/133/72/4882/4881/778/5582/196883/91807/4879/23236/64600/123745/10203,20
Metabolism,Metabolism of other amino acids,hsa00410,beta-Alanine metabolism,8/783,29/6540,0.27586206896551724,2.3041352886775,2.5955908405507113,0.017557400128673455,0.20039653250313494,0.1803536927918181,57571/4329/221/18/222/51733/1807/84735,8
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,43/783,263/6540,0.1634980988593156,1.3656163046486898,2.231854095386743,0.01939041448052281,0.2098326180040656,0.18884601970154416,4804/7042/7786/8605/1942/59283/27092/1326/22808/1649/8912/6237/784/2065/23542/2872/3643/5801/4616/59285/778/25780/7124/4137/5582/3315/5155/10125/1850/9965/93589/5778/5159/5602/1943/3553/5923/2254/8822/123745/3815/10368/5979,43
Human Diseases,Infectious disease: bacterial,hsa05133,Pertussis,14/783,65/6540,0.2153846153846154,1.7989979369289717,2.3873763365372636,0.01965199745657412,0.2098326180040656,0.18884601970154416,715/716/718/3593/834/7124/710/51561/23643/3569/5602/720/721/3553,14
Cellular Processes,Cell motility,hsa04814,Motor proteins,30/783,172/6540,0.1744186046511628,1.4568297246725475,2.2390071765294834,0.02078389599970397,0.21453320366735484,0.19307647205553005,10398/89953/7846/4647/59/80022/3797/72/7169/113220/4646/51168/26153/4642/4542/90990/201625/8632/27019/83657/347733/147700/7136/58498/56171/7125/1780/84700/7139/7140,30
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,21/783,111/6540,0.1891891891891892,1.580200890545718,2.27356095639614,0.021388506710038398,0.21453320366735484,0.19307647205553005,3133/3134/9076/1001/6385/3897/3696/64115/23705/137075/79679/1364/1366/6402/54413/6614/23308/94030/1003/9369/51208,21
Metabolism,Lipid metabolism,hsa00140,Steroid hormone biosynthesis,8/783,31/6540,0.25806451612903225,2.1554813990854034,2.378072576500848,0.026040854365564102,0.2535153763235799,0.22815980759921492,1545/1571/1543/8644/3292/1544/6718/1588,8
Metabolism,Amino acid metabolism,hsa00340,Histidine metabolism,6/783,21/6540,0.2857142857142857,2.3864258347016967,2.346681957501218,0.03226027372580253,0.30509001723544676,0.27457616434292076,10841/57571/221/222/26/84735,6
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,21/783,117/6540,0.1794871794871795,1.4991649474408095,2.0091228149619056,0.03628691634682594,0.32513957854030023,0.2926204507136428,901/23710/7042/1030/114907/6648/604/4303/3643/8660/4616/8743/1026/1901/5896/11337/3569/5602/10110/8698/2911,21
Metabolism,Lipid metabolism,hsa00565,Ether lipid metabolism,9/783,39/6540,0.23076923076923078,1.927497789566755,2.1423653656548143,0.037327202370185525,0.32513957854030023,0.2926204507136428,144110/5337/8605/8398/8611/79153/64600/123745/9514,9
Cellular Processes,Cell growth and death,hsa04216,Ferroptosis,9/783,39/6540,0.23076923076923078,1.927497789566755,2.1423653656548143,0.037327202370185525,0.32513957854030023,0.2926204507136428,2512/6303/84557/3162/440738/2495/1356/246/7018,9
Cellular Processes,Cell growth and death,hsa04217,Necroptosis,20/783,112/6540,0.17857142857142858,1.4915161466885605,1.9348499990017245,0.042287234813897734,0.3292394793880085,0.2963102962849624,6773/8605/2512/3718/8878/834/100526767/11035/10379/8743/7124/2495/7098/6775/5602/815/246/3553/123745/3456,20
